go run main.go
100000 orig 3327.294825 9376369
100000 opt 1507.586882 9376369
100000 opt 1570.483024 9376369
100000 opt 1547.422000 9376369
100000 orig 3540.853744 9376369
100000 opt 1606.141738 9376369
100000 opt 1579.521745 9376369
100000 orig 3412.692809 9376369
100000 opt 1536.235906 9376369
100000 orig 3529.739903 9376369
100000 orig 3383.374179 9376369
100000 orig 3400.459025 9376369
100000 orig 3482.948410 9376369
100000 opt 1537.803632 9376369
100000 orig 3546.412137 9376369
100000 orig 3487.241673 9376369
100000 opt 1613.645954 9376369
100000 orig 3450.233493 9376369
100000 opt 1602.223913 9376369
100000 opt 1597.515968 9376369
100000 orig 3502.129445 9376369
100000 orig 3368.835729 9376369
100000 opt 1547.416478 9376369
100000 orig 3399.077676 9376369
100000 orig 3395.522547 9376369
100000 opt 1559.804597 9376369
100000 opt 1572.454403 9376369
100000 opt 1524.866081 9376369
100000 opt 1523.987380 9376369
100000 opt 1571.011346 9376369
100000 opt 1528.056850 9376369
100000 orig 3581.905543 9376369
100000 opt 1625.695108 9376369
100000 opt 1588.874388 9376369
100000 opt 1513.279052 9376369
100000 orig 3418.023171 9376369
100000 orig 3523.826691 9376369
100000 orig 3472.359420 9376369
100000 orig 3387.690021 9376369
100000 opt 1558.570882 9376369
100000 orig 3410.930771 9376369
100000 opt 1575.503346 9376369
100000 opt 1546.141204 9376369
100000 orig 3437.151258 9376369
100000 orig 3446.787051 9376369
100000 orig 3445.547075 9376369
100000 orig 3368.475611 9376369
100000 opt 1533.574240 9376369
100000 opt 1543.541209 9376369
100000 opt 1508.440035 9376369
100000 orig 3476.950399 9376369
100000 opt 1554.507909 9376369
100000 opt 1541.815026 9376369
100000 opt 1572.641000 9376369
100000 opt 1582.064721 9376369
100000 opt 1509.592321 9376369
100000 opt 1542.433386 9376369
100000 orig 3405.996988 9376369
100000 orig 3390.244449 9376369
100000 orig 3406.705763 9376369
100000 opt 1541.705812 9376369
100000 opt 1541.548989 9376369
100000 orig 3431.876057 9376369
100000 orig 3529.306887 9376369
100000 orig 3469.421509 9376369
100000 orig 3499.101292 9376369
100000 opt 1552.074815 9376369
100000 opt 1607.955822 9376369
100000 orig 3493.270372 9376369
100000 orig 3463.387217 9376369
100000 orig 3453.467553 9376369
100000 orig 3424.896360 9376369
100000 opt 1570.105281 9376369
100000 opt 1573.232534 9376369
100000 orig 3356.778036 9376369
100000 opt 1583.650094 9376369
100000 orig 3453.758713 9376369
100000 orig 3506.720631 9376369
100000 opt 1541.627618 9376369
100000 orig 3627.883099 9376369
100000 orig 3410.528411 9376369
100000 orig 3456.035964 9376369
100000 opt 1550.338460 9376369
100000 opt 1591.856241 9376369
100000 orig 3414.539616 9376369
100000 orig 3469.630446 9376369
100000 opt 1569.056833 9376369
100000 orig 3335.591352 9376369
100000 opt 1566.832357 9376369
100000 opt 1554.537094 9376369
100000 opt 1555.394731 9376369
100000 opt 1520.964250 9376369
100000 opt 1574.851391 9376369
100000 orig 3384.473216 9376369
100000 orig 3390.961359 9376369
100000 orig 3376.461548 9376369
100000 opt 1584.215716 9376369
100000 orig 3342.232764 9376369
100000 opt 1518.712331 9376369
100000 orig 3451.427754 9376369
100000 orig 3479.554282 9376369
100000 ORIG 3443.543417 (+/- 63.378649) ms
100000 OPT 1558.430242 (+/- 28.740522) ms

go run main.go
10000 opt 146.711410 937557
10000 orig 202.874499 937557
10000 opt 162.794968 937557
10000 orig 202.264489 937557
10000 opt 154.185710 937557
10000 opt 155.358746 937557
10000 opt 173.527573 937557
10000 opt 152.669086 937557
10000 orig 214.517700 937557
10000 orig 213.988214 937557
10000 orig 198.710200 937557
10000 opt 138.128308 937557
10000 opt 149.992117 937557
10000 orig 207.803579 937557
10000 opt 148.212573 937557
10000 opt 165.487015 937557
10000 opt 151.893929 937557
10000 orig 199.294054 937557
10000 orig 190.985469 937557
10000 orig 166.799864 937557
10000 opt 155.854295 937557
10000 opt 160.997353 937557
10000 orig 205.164871 937557
10000 opt 157.691879 937557
10000 orig 205.358930 937557
10000 opt 152.805402 937557
10000 orig 204.745741 937557
10000 opt 137.875195 937557
10000 orig 191.247881 937557
10000 opt 133.773838 937557
10000 opt 148.942727 937557
10000 opt 156.579862 937557
10000 opt 163.486068 937557
10000 orig 207.318767 937557
10000 opt 140.124440 937557
10000 orig 207.955022 937557
10000 orig 204.412223 937557
10000 opt 151.015301 937557
10000 opt 159.288488 937557
10000 orig 177.756793 937557
10000 orig 185.986340 937557
10000 opt 153.247076 937557
10000 opt 154.142977 937557
10000 opt 150.725378 937557
10000 opt 138.663952 937557
10000 orig 177.608167 937557
10000 orig 176.593410 937557
10000 orig 194.127238 937557
10000 orig 204.130849 937557
10000 opt 145.081779 937557
10000 opt 155.507540 937557
10000 opt 165.916099 937557
10000 opt 161.947992 937557
10000 opt 144.594787 937557
10000 orig 206.446810 937557
10000 opt 155.610109 937557
10000 opt 149.461892 937557
10000 opt 151.690923 937557
10000 opt 159.474949 937557
10000 orig 204.081619 937557
10000 orig 207.740308 937557
10000 opt 155.704829 937557
10000 opt 156.000781 937557
10000 orig 196.279864 937557
10000 opt 158.633436 937557
10000 opt 141.590814 937557
10000 orig 187.467748 937557
10000 opt 151.772069 937557
10000 opt 155.070768 937557
10000 opt 145.858436 937557
10000 opt 157.881838 937557
10000 opt 165.593605 937557
10000 opt 138.776599 937557
10000 opt 144.468644 937557
10000 opt 149.911067 937557
10000 orig 199.526428 937557
10000 orig 191.113267 937557
10000 orig 205.907107 937557
10000 opt 146.056198 937557
10000 opt 159.187098 937557
10000 orig 191.100487 937557
10000 opt 136.676841 937557
10000 opt 160.955529 937557
10000 orig 192.969909 937557
10000 orig 206.905331 937557
10000 opt 141.352798 937557
10000 orig 188.565105 937557
10000 opt 136.825159 937557
10000 orig 222.864355 937557
10000 opt 159.659286 937557
10000 orig 210.715394 937557
10000 orig 194.617276 937557
10000 opt 137.333841 937557
10000 orig 221.753224 937557
10000 orig 222.592918 937557
10000 orig 173.529639 937557
10000 orig 181.798353 937557
10000 orig 210.145204 937557
10000 opt 144.460753 937557
10000 orig 203.538649 937557
10000 opt 161.964791 937557
10000 ORIG 199.053565 (+/- 12.956540) ms
10000 OPT 151.882705 (+/- 8.869852) ms
